[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.0.0.0 - Free
[Trace]   PluginFactory         Created plugin 'Server'.
[Info]    PluginManager         Loaded plugin Server version 1.0.0
[Info]    DarkRiftServer        Server mounted, listening on port 4296.
[Info]    P:Server              Avg Time in last 400 frames:0,00133
[Info]    P:Server              Max: 0,0082
[Info]    P:Server              Avg Time in last 400 frames:0,0023
[Info]    P:Server              Max: 0,074
[Info]    ClientManager         New client [0] connected [10.0.36.129:4001|65187].
[Info]    P:Server              Avg Time in last 400 frames:0,00193
[Info]    P:Server              Max: 0,1826
[Info]    P:Server              Avg Time in last 400 frames:0,44888
[Info]    P:Server              Max: 24,381
[Info]    P:Server              Avg Time in last 400 frames:0,62701
[Info]    P:Server              Max: 4,856
[Info]    P:Server              Avg Time in last 400 frames:0,63379
[Info]    P:Server              Max: 11,0382
[Info]    P:Server              Avg Time in last 400 frames:0,47836
[Info]    P:Server              Max: 9,798
[Info]    P:Server              Avg Time in last 400 frames:0,40165
[Info]    P:Server              Max: 5,4534
[Info]    P:Server              Avg Time in last 400 frames:0,37606
[Info]    P:Server              Max: 8,707
[Info]    ClientManager         Client [0] disconnected: ConnectionReset.
