[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.0.0.0 - Free
[Trace]   PluginFactory         Created plugin 'Server'.
[Info]    PluginManager         Loaded plugin Server version 1.0.0
[Info]    DarkRiftServer        Server mounted, listening on port 4296.
[Info]    ClientManager         New client [0] connected [10.0.36.129:4031|58587].
[Info]    P:Server              Avg Time in last 400 frames:0,0016
[Info]    P:Server              Max: 0,0675
[Info]    P:Server              Avg Time in last 400 frames:0,51991
[Info]    P:Server              Max: 17,1686
[Info]    ClientManager         Client [0] disconnected.
[Info]    P:Server              Avg Time in last 400 frames:0,11662
[Info]    P:Server              Max: 3,393
[Info]    P:Server              Avg Time in last 400 frames:0,05128
[Info]    P:Server              Max: 0,3656
[Info]    P:Server              Avg Time in last 400 frames:0,04617
[Info]    P:Server              Max: 0,1578
[Info]    P:Server              Avg Time in last 400 frames:0,04813
[Info]    P:Server              Max: 0,1484
[Info]    P:Server              Avg Time in last 400 frames:0,04814
[Info]    P:Server              Max: 0,1411
[Info]    P:Server              Avg Time in last 400 frames:0,06666
[Info]    P:Server              Max: 7,673
[Info]    P:Server              Avg Time in last 400 frames:0,06847
[Info]    P:Server              Max: 1,4023
