[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.0.0.0 - Free
[Trace]   PluginFactory         Created plugin 'Server'.
[Info]    PluginManager         Loaded plugin Server version 1.0.0
[Info]    DarkRiftServer        Server mounted, listening on port 4296.
[Info]    P:Server              Avg Time in last 400 frames:0,00159
[Info]    P:Server              Max: 0,0826
[Info]    ClientManager         New client [0] connected [192.168.3.118:12413|57353].
[Info]    P:Server              Avg Time in last 400 frames:0,00136
[Info]    P:Server              Max: 0,0244
[Info]    P:Server              Avg Time in last 400 frames:0,00136
[Info]    P:Server              Max: 0,0402
[Info]    P:Server              Avg Time in last 400 frames:0,00127
[Info]    P:Server              Max: 0,0244
[Info]    P:Server              Avg Time in last 400 frames:0,42326
[Info]    P:Server              Max: 21,4563
[Info]    P:Server              Avg Time in last 400 frames:0,63165
[Info]    P:Server              Max: 19,0281
[Info]    P:Server              Avg Time in last 400 frames:0,6657
[Info]    P:Server              Max: 5,4133
[Info]    P:Server              Avg Time in last 400 frames:1,01919
[Info]    P:Server              Max: 102,2194
[Info]    P:Server              Avg Time in last 400 frames:0,57266
[Info]    P:Server              Max: 11,7746
[Info]    P:Server              Avg Time in last 400 frames:1,1738
[Info]    P:Server              Max: 59,2457
[Info]    P:Server              Avg Time in last 400 frames:0,78708
[Info]    P:Server              Max: 34,945
[Info]    P:Server              Avg Time in last 400 frames:0,5184
[Info]    P:Server              Max: 11,9504
[Info]    P:Server              Avg Time in last 400 frames:0,4288
[Info]    P:Server              Max: 2,0442
[Info]    P:Server              Avg Time in last 400 frames:0,58358
[Info]    P:Server              Max: 58,7696
[Info]    P:Server              Avg Time in last 400 frames:0,45811
[Info]    P:Server              Max: 9,4931
[Info]    P:Server              Avg Time in last 400 frames:0,52615
[Info]    P:Server              Max: 5,6942
[Info]    P:Server              Avg Time in last 400 frames:0,73954
[Info]    P:Server              Max: 73,9655
[Info]    P:Server              Avg Time in last 400 frames:0,62502
[Info]    P:Server              Max: 7,5541
[Info]    P:Server              Avg Time in last 400 frames:0,5618
[Info]    P:Server              Max: 3,1689
[Info]    P:Server              Avg Time in last 400 frames:0,57206
[Info]    P:Server              Max: 9,2254
[Info]    P:Server              Avg Time in last 400 frames:0,78261
[Info]    P:Server              Max: 46,1752
[Info]    P:Server              Avg Time in last 400 frames:0,78273
[Info]    P:Server              Max: 9,2549
[Info]    P:Server              Avg Time in last 400 frames:0,8798
[Info]    P:Server              Max: 27,8797
[Info]    P:Server              Avg Time in last 400 frames:0,59898
[Info]    P:Server              Max: 13,425
[Info]    P:Server              Avg Time in last 400 frames:0,60309
[Info]    P:Server              Max: 10,7046
[Info]    P:Server              Avg Time in last 400 frames:0,67417
[Info]    P:Server              Max: 14,3337
[Info]    P:Server              Avg Time in last 400 frames:0,55821
[Info]    P:Server              Max: 12,1706
[Info]    P:Server              Avg Time in last 400 frames:0,59973
[Info]    P:Server              Max: 12,7599
[Info]    P:Server              Avg Time in last 400 frames:0,57565
[Info]    P:Server              Max: 10,5105
[Info]    P:Server              Avg Time in last 400 frames:0,61725
[Info]    P:Server              Max: 38,8354
[Info]    P:Server              Avg Time in last 400 frames:0,4708
[Info]    P:Server              Max: 2,4509
[Info]    P:Server              Avg Time in last 400 frames:0,4977
[Info]    P:Server              Max: 6,0218
[Info]    P:Server              Avg Time in last 400 frames:0,60454
[Info]    P:Server              Max: 17,1639
[Info]    P:Server              Avg Time in last 400 frames:0,58281
[Info]    P:Server              Max: 9,7
[Info]    P:Server              Avg Time in last 400 frames:0,78632
[Info]    P:Server              Max: 66,9024
[Info]    P:Server              Avg Time in last 400 frames:0,49881
[Info]    P:Server              Max: 2,7566
[Info]    P:Server              Avg Time in last 400 frames:0,48077
[Info]    P:Server              Max: 6,9391
[Info]    P:Server              Avg Time in last 400 frames:0,42914
[Info]    P:Server              Max: 6,0552
[Info]    P:Server              Avg Time in last 400 frames:0,489
[Info]    P:Server              Max: 10,8098
[Info]    P:Server              Avg Time in last 400 frames:0,48799
[Info]    P:Server              Max: 7,779
[Info]    P:Server              Avg Time in last 400 frames:0,5505
[Info]    P:Server              Max: 6,1869
[Info]    P:Server              Avg Time in last 400 frames:0,82805
[Info]    P:Server              Max: 74,1079
[Info]    P:Server              Avg Time in last 400 frames:0,48416
